time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
60.21,thumb,12.92,15.02,2.02,9.64,118.0,132,ok
61.01,thumb,11.91,15.02,2.07,9.59,118.9,147,ok
61.80,thumb,13.1,15.12,2.06,9.52,118.1,134,ok
62.40,thumb,13.05,15.12,2.05,9.5,117.8,135,ok
63.20,thumb,12.86,15.1,2.01,9.71,118.3,131,ok
64.00,thumb,12.98,15.1,2.06,10.04,121.9,132,ok
64.80,thumb,13.22,15.14,2.05,9.59,118.2,134,ok
65.60,thumb,13.12,15.24,2.06,9.54,118.2,133,ok
66.40,thumb,13.1,15.14,2.05,9.64,118.6,133,ok
67.20,thumb,13.24,15.24,2.08,10.26,123.6,141,ok
68.00,thumb,13.31,15.22,2.06,9.7,119.4,134,ok
68.80,thumb,11.95,12.31,2.02,9.85,119.4,133,ok
69.41,thumb,13.09,15.24,2.05,9.76,119.4,135,ok
70.21,thumb,12.49,15.22,2.12,10.26,124.8,148,ok
70.80,thumb,13.33,15.22,2.1,9.7,120.4,135,ok
71.60,thumb,13.27,15.2,2.12,9.9,122.5,136,ok
72.20,thumb,11.96,12.51,2.06,9.71,119.5,135,ok
72.80,thumb,13.07,15.22,2.14,10.02,123.7,133,ok
73.19,thumb,13.21,15.24,2.2,8.62,114.8,137,ok
73.80,thumb,12.96,15.34,2.29,9.27,121.7,138,ok
74.39,thumb,,,,,,,No finger detected.
74.60,thumb,,,,,,,No finger detected.
74.79,thumb,,,,,,,No finger detected.
75.00,thumb,,,,,,,No finger detected.
75.19,thumb,,,,,,,No finger detected.
75.41,thumb,,,,,,,No finger detected.
75.60,thumb,,,,,,,No finger detected.
75.80,thumb,,,,,,,No finger detected.
75.99,thumb,,,,,,,No finger detected.
76.20,thumb,,,,,,,No finger detected.
76.39,thumb,,,,,,,No finger detected.
76.60,thumb,,,,,,,No finger detected.
77.00,thumb,,,,,,,No finger detected.
77.19,thumb,,,,,,,No finger detected.
77.40,thumb,,,,,,,No finger detected.
77.59,thumb,,,,,,,No finger detected.
77.80,thumb,,,,,,,No finger detected.
77.99,thumb,,,,,,,No finger detected.
78.20,thumb,,,,,,,No finger detected.
78.40,thumb,,,,,,,No finger detected.
78.60,thumb,,,,,,,No finger detected.
78.80,thumb,,,,,,,No finger detected.
79.00,thumb,,,,,,,No finger detected.
79.40,thumb,,,,,,,No finger detected.
79.80,thumb,,,,,,,No finger detected.
80.00,thumb,,,,,,,No finger detected.
80.20,thumb,,,,,,,No finger detected.
80.40,thumb,,,,,,,No finger detected.
80.60,thumb,,,,,,,No finger detected.
80.80,thumb,,,,,,,No finger detected.
81.00,thumb,,,,,,,No finger detected.
81.19,thumb,,,,,,,No finger detected.
81.79,thumb,1.65,4.61,0.3,1.29,16.5,10,ok
81.99,thumb,,,,,,,No finger detected.
82.20,thumb,,,,,,,No finger detected.
82.39,thumb,,,,,,,No finger detected.
82.58,thumb,,,,,,,No finger detected.
82.80,thumb,,,,,,,No finger detected.
82.99,thumb,,,,,,,No finger detected.
83.19,thumb,,,,,,,No finger detected.
83.60,thumb,,,,,,,No finger detected.
83.79,thumb,,,,,,,No finger detected.
84.00,thumb,,,,,,,No finger detected.
84.19,thumb,,,,,,,No finger detected.
84.39,thumb,,,,,,,No finger detected.
84.59,thumb,,,,,,,No finger detected.
84.80,thumb,,,,,,,No finger detected.
84.99,thumb,,,,,,,No finger detected.
85.19,thumb,,,,,,,No finger detected.
85.38,thumb,,,,,,,No finger detected.
85.59,thumb,,,,,,,No finger detected.
85.78,thumb,,,,,,,No finger detected.
86.00,thumb,,,,,,,No finger detected.
86.19,thumb,,,,,,,No finger detected.
86.39,thumb,,,,,,,No finger detected.
86.58,thumb,,,,,,,No finger detected.
86.99,thumb,,,,,,,No finger detected.
87.20,thumb,,,,,,,No finger detected.
87.39,thumb,,,,,,,No finger detected.
87.60,thumb,,,,,,,No finger detected.
87.79,thumb,,,,,,,No finger detected.
87.99,thumb,,,,,,,No finger detected.
88.19,thumb,,,,,,,No finger detected.
88.39,thumb,,,,,,,No finger detected.
88.58,thumb,,,,,,,No finger detected.
88.79,thumb,,,,,,,No finger detected.
88.99,thumb,,,,,,,No finger detected.
89.19,thumb,,,,,,,No finger detected.
89.38,thumb,,,,,,,No finger detected.
89.60,thumb,,,,,,,No finger detected.
89.79,thumb,,,,,,,No finger detected.
89.99,thumb,,,,,,,No finger detected.
90.19,thumb,,,,,,,No finger detected.
90.40,thumb,,,,,,,No finger detected.
90.58,thumb,,,,,,,No finger detected.
90.79,thumb,,,,,,,No finger detected.
90.98,thumb,,,,,,,No finger detected.
91.20,thumb,,,,,,,No finger detected.
91.39,thumb,,,,,,,No finger detected.
91.60,thumb,,,,,,,No finger detected.
91.79,thumb,,,,,,,No finger detected.
92.00,thumb,,,,,,,No finger detected.
92.19,thumb,,,,,,,No finger detected.
92.39,thumb,,,,,,,No finger detected.
92.58,thumb,,,,,,,No finger detected.
92.80,thumb,,,,,,,No finger detected.
93.38,thumb,2.59,9.72,0.3,2.94,25.8,26,ok
93.60,thumb,,,,,,,No finger detected.
93.79,thumb,,,,,,,No finger detected.
94.19,thumb,2.59,9.92,0.3,2.94,25.8,17,ok
94.40,thumb,,,,,,,No finger detected.
94.59,thumb,,,,,,,No finger detected.
94.79,thumb,,,,,,,No finger detected.
94.99,thumb,,,,,,,No finger detected.
95.20,thumb,,,,,,,No finger detected.
95.39,thumb,,,,,,,No finger detected.
95.60,thumb,,,,,,,No finger detected.
95.99,thumb,,,,,,,No finger detected.
96.18,thumb,,,,,,,No finger detected.
96.39,thumb,,,,,,,No finger detected.
96.59,thumb,,,,,,,No finger detected.
96.79,thumb,,,,,,,No finger detected.
96.99,thumb,,,,,,,No finger detected.
97.19,thumb,,,,,,,No finger detected.
97.38,thumb,,,,,,,No finger detected.
97.59,thumb,,,,,,,No finger detected.
97.79,thumb,,,,,,,No finger detected.
98.00,thumb,,,,,,,No finger detected.
98.19,thumb,,,,,,,No finger detected.
98.39,thumb,,,,,,,No finger detected.
98.58,thumb,,,,,,,No finger detected.
98.79,thumb,,,,,,,No finger detected.
98.98,thumb,,,,,,,No finger detected.
99.19,thumb,,,,,,,No finger detected.
99.39,thumb,,,,,,,No finger detected.
99.59,thumb,,,,,,,No finger detected.
99.99,thumb,,,,,,,No finger detected.
100.18,thumb,,,,,,,No finger detected.
100.40,thumb,,,,,,,No finger detected.
100.59,thumb,,,,,,,No finger detected.
100.79,thumb,,,,,,,No finger detected.
100.99,thumb,,,,,,,No finger detected.
101.20,thumb,,,,,,,No finger detected.
101.38,thumb,,,,,,,No finger detected.
101.60,thumb,,,,,,,No finger detected.
101.78,thumb,,,,,,,No finger detected.
102.00,thumb,,,,,,,No finger detected.
102.19,thumb,,,,,,,No finger detected.
102.39,thumb,,,,,,,No finger detected.
102.59,thumb,,,,,,,No finger detected.
102.79,thumb,,,,,,,No finger detected.
102.98,thumb,,,,,,,No finger detected.
103.19,thumb,,,,,,,No finger detected.
103.39,thumb,,,,,,,No finger detected.
103.59,thumb,,,,,,,No finger detected.
103.79,thumb,,,,,,,No finger detected.
103.99,thumb,,,,,,,No finger detected.
104.18,thumb,,,,,,,No finger detected.
104.39,thumb,,,,,,,No finger detected.
104.59,thumb,,,,,,,No finger detected.
104.79,thumb,,,,,,,No finger detected.
104.98,thumb,,,,,,,No finger detected.
105.20,thumb,,,,,,,No finger detected.
105.39,thumb,,,,,,,No finger detected.
105.60,thumb,,,,,,,No finger detected.
105.79,thumb,,,,,,,No finger detected.
105.99,thumb,,,,,,,No finger detected.
106.18,thumb,,,,,,,No finger detected.
106.39,thumb,,,,,,,No finger detected.
106.58,thumb,,,,,,,No finger detected.
106.79,thumb,,,,,,,No finger detected.
106.99,thumb,,,,,,,No finger detected.
107.19,thumb,,,,,,,No finger detected.
107.39,thumb,,,,,,,No finger detected.
107.59,thumb,,,,,,,No finger detected.
107.79,thumb,,,,,,,No finger detected.
108.00,thumb,,,,,,,No finger detected.
108.19,thumb,,,,,,,No finger detected.
108.39,thumb,,,,,,,No finger detected.
108.59,thumb,,,,,,,No finger detected.
108.79,thumb,,,,,,,No finger detected.
108.99,thumb,,,,,,,No finger detected.
109.18,thumb,,,,,,,No finger detected.
109.38,thumb,,,,,,,No finger detected.
109.59,thumb,,,,,,,No finger detected.
109.78,thumb,,,,,,,No finger detected.
110.00,thumb,,,,,,,No finger detected.
110.19,thumb,,,,,,,No finger detected.
110.38,thumb,,,,,,,No finger detected.
110.58,thumb,,,,,,,No finger detected.
110.78,thumb,,,,,,,No finger detected.
110.99,thumb,,,,,,,No finger detected.
111.18,thumb,,,,,,,No finger detected.
111.38,thumb,,,,,,,No finger detected.
111.58,thumb,,,,,,,No finger detected.
111.78,thumb,,,,,,,No finger detected.
111.98,thumb,,,,,,,No finger detected.
112.19,thumb,,,,,,,No finger detected.
112.38,thumb,,,,,,,No finger detected.
112.59,thumb,,,,,,,No finger detected.
112.78,thumb,,,,,,,No finger detected.
112.99,thumb,,,,,,,No finger detected.
113.18,thumb,,,,,,,No finger detected.
113.39,thumb,,,,,,,No finger detected.
113.58,thumb,,,,,,,No finger detected.
113.79,thumb,,,,,,,No finger detected.
113.98,thumb,,,,,,,No finger detected.
114.19,thumb,,,,,,,No finger detected.
114.38,thumb,,,,,,,No finger detected.
114.58,thumb,,,,,,,No finger detected.
114.99,thumb,,,,,,,No finger detected.
115.18,thumb,,,,,,,No finger detected.
115.38,thumb,,,,,,,No finger detected.
115.98,thumb,0.46,4.1,2.0,1.01,4.6,9,ok
116.18,thumb,,,,,,,No finger detected.
116.38,thumb,,,,,,,No finger detected.
116.59,thumb,,,,,,,No finger detected.
116.78,thumb,,,,,,,No finger detected.
116.99,thumb,,,,,,,No finger detected.
117.18,thumb,,,,,,,No finger detected.
117.58,thumb,1.94,8.73,0.3,1.72,19.3,13,ok
117.79,thumb,,,,,,,No finger detected.
117.98,thumb,,,,,,,No finger detected.
118.18,thumb,,,,,,,No finger detected.
118.38,thumb,,,,,,,No finger detected.
118.59,thumb,,,,,,,No finger detected.
118.78,thumb,,,,,,,No finger detected.
118.99,thumb,,,,,,,No finger detected.
119.39,thumb,,,,,,,No finger detected.
119.58,thumb,,,,,,,No finger detected.
119.78,thumb,,,,,,,No finger detected.
119.98,thumb,,,,,,,No finger detected.
120.19,thumb,,,,,,,No finger detected.
120.38,thumb,,,,,,,No finger detected.
120.58,thumb,,,,,,,No finger detected.
120.78,thumb,,,,,,,No finger detected.
120.99,thumb,,,,,,,No finger detected.
121.18,thumb,,,,,,,No finger detected.
121.39,thumb,,,,,,,No finger detected.
121.58,thumb,,,,,,,No finger detected.
121.78,thumb,,,,,,,No finger detected.
121.98,thumb,,,,,,,No finger detected.
122.19,thumb,,,,,,,No finger detected.
122.38,thumb,,,,,,,No finger detected.
122.58,thumb,,,,,,,No finger detected.
122.78,thumb,,,,,,,No finger detected.
122.99,thumb,,,,,,,No finger detected.
123.18,thumb,,,,,,,No finger detected.
123.38,thumb,,,,,,,No finger detected.
123.98,thumb,,,,,,,No finger detected.
124.18,thumb,,,,,,,No finger detected.
124.78,thumb,1.94,8.94,0.3,1.72,19.3,15,ok
124.99,thumb,,,,,,,No finger detected.
125.18,thumb,,,,,,,No finger detected.
125.38,thumb,,,,,,,No finger detected.
125.58,thumb,,,,,,,No finger detected.
126.18,thumb,,,,,,,No finger detected.
126.38,thumb,,,,,,,No finger detected.
126.58,thumb,,,,,,,No finger detected.
127.18,thumb,1.94,9.02,0.3,1.71,19.3,14,ok
127.58,thumb,,,,,,,No finger detected.
127.78,thumb,,,,,,,Not enough finger rows detected in top photo.
128.38,thumb,,,,,,,No finger detected.
128.59,thumb,,,,,,,No finger detected.
128.78,thumb,,,,,,,No finger detected.
128.99,thumb,,,,,,,No finger detected.
129.18,thumb,,,,,,,No finger detected.
129.38,thumb,,,,,,,No finger detected.
129.58,thumb,,,,,,,No finger detected.
129.78,thumb,,,,,,,No finger detected.
130.38,thumb,1.92,8.63,0.3,1.69,19.1,17,ok
130.78,thumb,,,,,,,No finger detected.
130.98,thumb,,,,,,,No finger detected.
131.58,thumb,,,,,,,No finger detected.
131.79,thumb,,,,,,,No finger detected.
131.98,thumb,,,,,,,No finger detected.
132.59,thumb,0.58,0.6,2.0,1.02,5.8,4,ok
133.18,thumb,0.58,0.6,2.0,1.02,5.8,4,ok
133.38,thumb,,,,,,,No finger detected.
133.58,thumb,,,,,,,No finger detected.
133.79,thumb,,,,,,,No finger detected.
133.98,thumb,,,,,,,No finger detected.
134.18,thumb,,,,,,,No finger detected.
134.78,thumb,0.58,0.6,2.0,1.02,5.8,4,ok
134.99,thumb,,,,,,,No finger detected.
135.18,thumb,,,,,,,No finger detected.
135.79,thumb,1.91,9.23,0.3,1.68,19.1,12,ok
135.98,thumb,,,,,,,Not enough finger rows detected in top photo.
136.19,thumb,,,,,,,No finger detected.
136.38,thumb,,,,,,,No finger detected.
136.57,thumb,,,,,,,No finger detected.
136.78,thumb,,,,,,,No finger detected.
137.39,thumb,1.94,9.12,0.3,1.71,19.3,14,ok
137.58,thumb,,,,,,,No finger detected.
137.98,thumb,1.91,8.92,0.3,1.67,19.1,25,ok
138.17,thumb,,,,,,,No finger detected.
138.38,thumb,,,,,,,No finger detected.
138.57,thumb,,,,,,,No finger detected.
138.78,thumb,,,,,,,No finger detected.
139.18,thumb,,,,,,,No finger detected.
139.37,thumb,,,,,,,No finger detected.
139.58,thumb,,,,,,,No finger detected.
139.77,thumb,,,,,,,No finger detected.
139.98,thumb,,,,,,,No finger detected.
140.38,thumb,,,,,,,No finger detected.
140.97,thumb,,,,,,,No finger detected.
141.58,thumb,,,,,,,No finger detected.
141.78,thumb,,,,,,,No finger detected.
141.98,thumb,,,,,,,No finger detected.
142.17,thumb,,,,,,,No finger detected.
142.57,thumb,,,,,,,No finger detected.
142.78,thumb,,,,,,,No finger detected.
143.37,thumb,1.94,8.84,0.3,1.72,19.3,12,ok
143.77,thumb,1.91,8.92,0.3,1.67,19.1,12,ok
144.38,thumb,,,,,,,No finger detected.
144.97,thumb,1.94,9.04,0.3,1.72,19.3,13,ok
145.37,thumb,1.91,9.22,0.3,1.67,19.1,13,ok
145.58,thumb,,,,,,,No finger detected.
145.77,thumb,,,,,,,No finger detected.
146.17,thumb,1.91,9.13,0.3,1.68,19.1,21,ok
146.57,thumb,1.91,9.22,0.3,1.67,19.1,44,ok
146.78,thumb,,,,,,,No finger detected.
146.97,thumb,,,,,,,No finger detected.
147.18,thumb,,,,,,,No finger detected.
147.37,thumb,,,,,,,No finger detected.
147.77,thumb,1.94,8.83,0.3,1.72,19.3,16,ok
147.98,thumb,,,,,,,No finger detected.
148.17,thumb,,,,,,,No finger detected.
148.38,thumb,,,,,,,No finger detected.
148.57,thumb,,,,,,,No finger detected.
149.18,thumb,2.0,9.52,0.3,1.81,19.9,47,ok
149.77,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
149.98,thumb,,,,,,,No finger detected.
150.17,thumb,,,,,,,No finger detected.
150.38,thumb,,,,,,,No finger detected.
150.57,thumb,,,,,,,No finger detected.
150.78,thumb,,,,,,,No finger detected.
150.97,thumb,,,,,,,No finger detected.
151.18,thumb,,,,,,,No finger detected.
151.37,thumb,,,,,,,No finger detected.
151.58,thumb,,,,,,,No finger detected.
151.77,thumb,,,,,,,No finger detected.
151.98,thumb,,,,,,,No finger detected.
152.17,thumb,,,,,,,No finger detected.
152.38,thumb,,,,,,,No finger detected.
152.57,thumb,,,,,,,No finger detected.
152.78,thumb,,,,,,,No finger detected.
152.97,thumb,,,,,,,No finger detected.
153.18,thumb,,,,,,,No finger detected.
153.37,thumb,,,,,,,No finger detected.
153.58,thumb,,,,,,,No finger detected.
153.77,thumb,,,,,,,No finger detected.
153.98,thumb,,,,,,,No finger detected.
154.17,thumb,,,,,,,No finger detected.
154.38,thumb,,,,,,,No finger detected.
154.78,thumb,,,,,,,No finger detected.
154.97,thumb,,,,,,,No finger detected.
155.18,thumb,,,,,,,No finger detected.
155.37,thumb,,,,,,,No finger detected.
155.58,thumb,,,,,,,No finger detected.
155.98,thumb,,,,,,,No finger detected.
156.17,thumb,,,,,,,No finger detected.
156.38,thumb,,,,,,,No finger detected.
156.57,thumb,,,,,,,No finger detected.
156.78,thumb,,,,,,,No finger detected.
156.97,thumb,,,,,,,No finger detected.
157.18,thumb,,,,,,,No finger detected.
157.58,thumb,,,,,,,No finger detected.
157.77,thumb,,,,,,,No finger detected.
157.98,thumb,,,,,,,No finger detected.
158.17,thumb,,,,,,,No finger detected.
158.78,thumb,0.66,2.11,0.46,0.35,6.6,11,ok
158.97,thumb,,,,,,,No finger detected.
159.18,thumb,,,,,,,No finger detected.
159.37,thumb,,,,,,,No finger detected.
159.58,thumb,,,,,,,No finger detected.
159.98,thumb,,,,,,,No finger detected.
160.17,thumb,,,,,,,No finger detected.
160.38,thumb,,,,,,,No finger detected.
160.57,thumb,,,,,,,No finger detected.
160.78,thumb,,,,,,,No finger detected.
160.97,thumb,,,,,,,No finger detected.
161.18,thumb,,,,,,,No finger detected.
161.37,thumb,,,,,,,No finger detected.
161.58,thumb,,,,,,,No finger detected.
161.77,thumb,,,,,,,No finger detected.
161.98,thumb,,,,,,,No finger detected.
162.17,thumb,,,,,,,No finger detected.
162.38,thumb,,,,,,,No finger detected.
162.57,thumb,,,,,,,No finger detected.
162.78,thumb,,,,,,,No finger detected.
162.97,thumb,,,,,,,No finger detected.
163.18,thumb,,,,,,,No finger detected.
163.37,thumb,,,,,,,No finger detected.
163.58,thumb,,,,,,,No finger detected.
163.77,thumb,,,,,,,No finger detected.
163.97,thumb,,,,,,,No finger detected.
164.17,thumb,,,,,,,No finger detected.
164.37,thumb,,,,,,,No finger detected.
164.57,thumb,,,,,,,No finger detected.
164.97,thumb,,,,,,,No finger detected.
165.16,thumb,,,,,,,No finger detected.
165.37,thumb,,,,,,,No finger detected.
165.56,thumb,,,,,,,No finger detected.
165.77,thumb,,,,,,,No finger detected.
165.97,thumb,,,,,,,No finger detected.
166.17,thumb,,,,,,,No finger detected.
166.36,thumb,,,,,,,No finger detected.
166.57,thumb,,,,,,,No finger detected.
166.76,thumb,,,,,,,No finger detected.
166.97,thumb,,,,,,,No finger detected.
167.16,thumb,,,,,,,No finger detected.
167.37,thumb,,,,,,,No finger detected.
167.56,thumb,,,,,,,No finger detected.
167.96,thumb,,,,,,,No finger detected.
168.17,thumb,,,,,,,No finger detected.
168.36,thumb,,,,,,,No finger detected.
168.57,thumb,,,,,,,index 5 is out of bounds for axis 0 with size 5
168.76,thumb,,,,,,,No finger detected.
168.97,thumb,,,,,,,No finger detected.
169.16,thumb,,,,,,,No finger detected.
169.37,thumb,,,,,,,No finger detected.
169.56,thumb,,,,,,,No finger detected.
169.77,thumb,,,,,,,No finger detected.
169.97,thumb,,,,,,,No finger detected.
170.18,thumb,,,,,,,No finger detected.
170.36,thumb,,,,,,,No finger detected.
170.57,thumb,,,,,,,No finger detected.
170.76,thumb,,,,,,,No finger detected.
170.97,thumb,,,,,,,No finger detected.
171.17,thumb,,,,,,,No finger detected.
171.37,thumb,,,,,,,No finger detected.
171.56,thumb,,,,,,,No finger detected.
171.77,thumb,,,,,,,No finger detected.
172.17,thumb,,,,,,,No finger detected.
172.36,thumb,,,,,,,No finger detected.
172.57,thumb,,,,,,,No finger detected.
172.76,thumb,,,,,,,No finger detected.
173.17,thumb,,,,,,,No finger detected.
173.37,thumb,,,,,,,No finger detected.
173.56,thumb,,,,,,,No finger detected.
174.17,thumb,0.46,0.5,2.0,1.01,4.6,4,ok
174.57,thumb,0.51,0.5,2.0,1.02,5.0,4,ok
174.97,thumb,,,,,,,Not enough finger rows detected in top photo.
175.16,thumb,,,,,,,No finger detected.
175.37,thumb,,,,,,,No finger detected.
175.56,thumb,,,,,,,No finger detected.
176.17,thumb,,,,,,,No finger detected.
