time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
1.21,thumb,,,,,,,No finger detected.
1.42,thumb,,,,,,,No finger detected.
1.61,thumb,,,,,,,No finger detected.
1.82,thumb,,,,,,,No finger detected.
2.01,thumb,,,,,,,No finger detected.
2.22,thumb,,,,,,,No finger detected.
2.41,thumb,,,,,,,No finger detected.
2.62,thumb,,,,,,,No finger detected.
2.81,thumb,,,,,,,No finger detected.
3.02,thumb,,,,,,,No finger detected.
3.21,thumb,,,,,,,No finger detected.
3.42,thumb,,,,,,,No finger detected.
3.61,thumb,,,,,,,No finger detected.
3.82,thumb,,,,,,,No finger detected.
4.01,thumb,,,,,,,No finger detected.
4.22,thumb,,,,,,,No finger detected.
4.41,thumb,,,,,,,No finger detected.
4.62,thumb,,,,,,,No finger detected.
4.81,thumb,,,,,,,No finger detected.
5.02,thumb,,,,,,,No finger detected.
5.21,thumb,,,,,,,No finger detected.
5.82,thumb,11.5,12.84,2.03,9.15,112.8,163,ok
6.22,thumb,12.9,16.16,2.22,10.48,126.9,146,ok
6.81,thumb,14.09,15.59,2.29,9.7,123.7,139,ok
7.42,thumb,12.38,14.73,2.07,9.72,118.9,130,ok
7.82,thumb,11.83,15.19,2.05,9.56,117.6,132,ok
8.41,thumb,11.83,16.7,2.18,9.11,117.6,141,ok
9.02,thumb,11.88,15.36,2.03,9.71,118.4,143,ok
9.42,thumb,11.83,11.94,1.89,10.2,117.9,129,ok
10.01,thumb,14.55,16.06,2.11,9.11,116.2,150,ok
10.41,thumb,103.47,113.91,1.64,816.91,78.1,103,ok
10.81,thumb,12.38,15.17,2.24,9.67,123.2,136,ok
11.42,thumb,12.17,15.17,2.14,9.72,121.1,128,ok
12.01,thumb,11.96,14.85,1.99,9.97,119.1,136,ok
12.62,thumb,11.72,11.94,1.85,10.2,116.7,133,ok
13.21,thumb,13.59,15.15,1.85,10.18,116.6,135,ok
13.82,thumb,14.0,15.46,1.9,9.83,115.8,157,ok
14.22,thumb,11.66,12.04,1.81,10.29,116.1,135,ok
15.02,thumb,11.68,15.15,1.86,10.1,116.4,145,ok
15.42,thumb,11.63,11.94,1.8,10.29,115.9,134,ok
16.01,thumb,11.55,11.94,1.8,10.16,115.1,130,ok
16.62,thumb,13.45,11.04,2.88,9.29,134.0,94,ok
17.02,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
17.42,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
17.82,thumb,17.23,19.42,1.56,24.56,171.2,134,ok
18.41,thumb,7.17,8.14,1.57,4.88,71.4,87,ok
18.81,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
19.61,thumb,51.1,56.24,1.21,295.21,530.8,577,ok
20.01,thumb,10.04,11.04,1.44,9.47,100.0,66,ok
20.62,thumb,9.6,10.02,1.72,7.56,95.8,67,ok
21.02,thumb,,,,,,,No finger detected.
21.21,thumb,,,,,,,No finger detected.
21.42,thumb,,,,,,,No finger detected.
21.61,thumb,,,,,,,No finger detected.
21.82,thumb,,,,,,,No finger detected.
22.01,thumb,,,,,,,No finger detected.
22.22,thumb,,,,,,,No finger detected.
22.41,thumb,,,,,,,No finger detected.
22.62,thumb,,,,,,,No finger detected.
22.81,thumb,,,,,,,No finger detected.
23.02,thumb,,,,,,,No finger detected.
23.21,thumb,,,,,,,No finger detected.
23.42,thumb,,,,,,,No finger detected.
23.61,thumb,,,,,,,No finger detected.
23.82,thumb,,,,,,,No finger detected.
24.01,thumb,,,,,,,No finger detected.
24.22,thumb,,,,,,,No finger detected.
24.41,thumb,,,,,,,No finger detected.
24.62,thumb,,,,,,,No finger detected.
25.21,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
25.61,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
26.20,thumb,11.52,32.56,0.3,31.08,85.7,268,ok
26.62,thumb,11.21,37.18,3.18,6.53,111.5,307,ok
27.21,thumb,,,,,,,No finger detected.
27.40,thumb,,,,,,,No finger detected.
27.61,thumb,,,,,,,No finger detected.
27.80,thumb,,,,,,,No finger detected.
28.02,thumb,,,,,,,No finger detected.
28.21,thumb,,,,,,,No finger detected.
28.41,thumb,,,,,,,No finger detected.
28.60,thumb,,,,,,,No finger detected.
29.21,thumb,12.4,13.87,2.0,10.01,119.5,126,ok
29.80,thumb,14.04,17.08,2.24,9.26,120.2,140,ok
30.20,thumb,11.77,12.16,2.07,9.71,119.2,123,ok
30.81,thumb,12.29,11.93,2.0,10.44,122.6,135,ok
31.21,thumb,12.26,14.43,1.92,10.74,122.3,134,ok
31.80,thumb,12.68,14.64,2.0,9.95,119.4,130,ok
32.41,thumb,11.74,14.52,1.93,9.89,117.2,132,ok
33.00,thumb,11.73,14.52,1.97,9.71,117.1,133,ok
33.61,thumb,12.62,14.92,1.98,9.83,118.2,128,ok
34.01,thumb,11.78,14.44,1.91,10.04,117.5,135,ok
34.81,thumb,11.68,14.64,1.91,9.89,116.5,138,ok
35.21,thumb,11.63,14.62,1.91,9.8,116.1,137,ok
35.80,thumb,12.6,15.22,1.93,10.02,118.1,141,ok
36.41,thumb,11.62,14.82,1.99,9.47,116.0,135,ok
37.00,thumb,13.31,15.02,1.88,10.15,117.5,136,ok
37.40,thumb,12.37,15.03,2.19,8.5,112.9,127,ok
38.01,thumb,15.18,17.18,2.17,9.07,117.2,153,ok
38.60,thumb,11.52,11.94,2.12,8.89,114.8,120,ok
39.00,thumb,13.47,14.74,1.75,9.68,110.8,137,ok
39.61,thumb,12.78,14.74,1.94,9.88,117.3,130,ok
40.20,thumb,11.74,14.84,2.05,9.43,117.1,132,ok
40.81,thumb,11.36,12.13,2.15,8.58,113.3,122,ok
41.40,thumb,12.78,14.94,2.22,8.47,114.1,131,ok
42.01,thumb,12.66,14.85,2.21,8.61,114.8,129,ok
42.41,thumb,12.81,14.63,2.17,8.52,113.4,134,ok
43.00,thumb,12.34,14.63,2.2,8.61,114.7,126,ok
43.61,thumb,13.97,15.62,2.25,8.4,114.3,142,ok
44.20,thumb,12.97,14.74,2.21,8.43,113.5,132,ok
44.81,thumb,12.82,14.92,2.24,8.64,115.9,136,ok
45.40,thumb,12.75,14.82,2.05,9.2,115.6,129,ok
46.01,thumb,12.99,14.94,1.98,9.54,116.1,131,ok
46.60,thumb,13.23,15.04,2.02,10.04,120.5,142,ok
47.21,thumb,12.85,14.94,2.02,9.9,119.6,130,ok
47.81,thumb,13.1,15.02,2.0,9.34,115.4,130,ok
48.41,thumb,11.85,15.02,2.06,9.56,118.4,148,ok
49.00,thumb,13.28,14.92,2.04,9.74,119.1,139,ok
49.61,thumb,11.63,15.02,2.03,9.35,116.2,144,ok
50.20,thumb,13.29,15.12,2.05,9.83,120.1,131,ok
50.81,thumb,12.86,14.92,2.0,9.42,115.9,130,ok
51.40,thumb,11.63,12.13,1.9,9.84,116.0,132,ok
52.01,thumb,11.64,12.23,1.94,9.7,116.1,134,ok
52.60,thumb,12.96,14.94,2.01,9.47,116.4,132,ok
53.21,thumb,12.98,14.84,2.02,9.59,117.5,133,ok
54.00,thumb,13.11,15.22,2.05,9.88,120.4,129,ok
54.61,thumb,14.04,15.02,2.02,9.75,118.7,151,ok
55.40,thumb,11.71,12.14,1.92,9.89,116.7,134,ok
56.00,thumb,12.95,15.04,2.08,9.93,121.3,139,ok
56.80,thumb,12.98,14.94,2.01,9.46,116.3,131,ok
57.60,thumb,12.99,15.04,2.01,9.66,117.7,140,ok
58.20,thumb,11.82,15.04,2.04,9.58,117.9,143,ok
59.00,thumb,12.98,15.12,2.04,9.71,118.9,129,ok
59.60,thumb,13.04,15.14,2.06,9.59,118.5,140,ok
