time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
2.19,thumb,15.88,17.53,1.65,13.9,130.4,159,ok
2.99,thumb,14.77,17.03,2.27,8.99,118.5,162,ok
3.79,thumb,12.33,12.39,2.22,9.66,122.3,136,ok
4.59,thumb,15.56,17.03,2.31,8.97,119.3,156,ok
5.39,thumb,16.75,12.46,2.41,9.31,119.4,158,ok
5.98,thumb,12.46,14.77,2.18,9.64,119.9,124,ok
6.78,thumb,12.23,14.38,2.03,9.55,116.2,124,ok
7.59,thumb,12.44,14.54,2.14,9.48,118.8,126,ok
8.59,thumb,12.44,14.69,2.16,9.35,118.8,127,ok
9.18,thumb,12.76,13.06,2.24,10.2,126.9,137,ok
9.79,thumb,13.08,14.77,2.16,9.68,121.3,137,ok
10.38,thumb,13.3,13.0,2.37,5.43,119.4,181,ok
11.39,thumb,12.87,14.59,2.09,9.55,118.5,135,ok
12.19,thumb,14.41,15.8,2.15,9.44,119.2,146,ok
12.99,thumb,15.1,16.5,2.11,9.45,118.3,149,ok
13.79,thumb,14.8,16.2,2.06,9.77,119.3,148,ok
14.59,thumb,14.87,16.28,2.16,9.71,121.5,149,ok
15.58,thumb,14.73,16.18,2.11,9.87,121.4,150,ok
16.39,thumb,11.11,12.22,2.08,6.07,121.3,148,ok
17.18,thumb,14.78,16.2,2.14,9.78,121.4,149,ok
18.19,thumb,14.81,16.2,2.18,9.64,121.4,150,ok
18.99,thumb,13.36,15.06,2.15,9.58,120.5,136,ok
19.58,thumb,0.48,0.5,2.0,1.01,4.7,4,ok
20.19,thumb,0.29,0.3,2.0,1.01,2.9,0,ok
20.59,thumb,0.49,0.51,2.0,1.01,4.8,4,ok
21.18,thumb,0.42,2.93,2.0,1.01,4.2,10,ok
21.79,thumb,0.42,2.53,2.0,1.01,4.2,11,ok
22.38,thumb,0.99,2.02,0.8,0.55,9.8,21,ok
22.79,thumb,1.09,1.11,1.08,0.68,10.8,10,ok
22.99,thumb,,,,,,,No finger detected.
23.58,thumb,0.58,0.6,2.0,1.02,5.8,4,ok
23.98,thumb,,,,,,,Not enough finger rows detected in top photo.
24.38,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
24.97,thumb,,,,,,,UNUSABLE c_curve_mm=nan; arc_radius_mm=None
